,sel,mig,Fbin,Nbin,freqR,orig,origsd,origmax
300,0.006,0.004,R6,0.0,0.0021,1.007,0.0833726573884,2.0
301,0.006,0.004,R7,0.0,0.0021,1.007,0.0833726573884,2.0
302,0.006,0.004,R8,0.0,0.0021,1.007,0.0833726573884,2.0
303,0.006,0.004,R9,0.0,0.0021,1.007,0.0833726573884,2.0
304,0.006,0.004,R10,0.0,0.0021,1.007,0.0833726573884,2.0
305,0.006,0.004,R11,0.0,0.0021,1.007,0.0833726573884,2.0
306,0.006,0.004,R12,0.0,0.0021,1.007,0.0833726573884,2.0
307,0.006,0.004,R13,0.0,0.0021,1.007,0.0833726573884,2.0
308,0.006,0.004,R14,0.0,0.0021,1.007,0.0833726573884,2.0
309,0.006,0.004,R15,0.0,0.0021,1.007,0.0833726573884,2.0
310,0.006,0.004,R16,0.0,0.0021,1.007,0.0833726573884,2.0
311,0.006,0.004,R17,0.0,0.0021,1.007,0.0833726573884,2.0
312,0.006,0.004,R18,0.0,0.0021,1.007,0.0833726573884,2.0
313,0.006,0.004,R19,0.0,0.0021,1.007,0.0833726573884,2.0
314,0.006,0.004,R20,0.0,0.0021,1.007,0.0833726573884,2.0
315,0.006,0.005,R0,19964.0,0.0018,1.002,0.0446766158074,2.0
316,0.006,0.005,R1,35.0,0.0018,1.002,0.0446766158074,2.0
317,0.006,0.005,R2,0.0,0.0018,1.002,0.0446766158074,2.0
318,0.006,0.005,R3,0.0,0.0018,1.002,0.0446766158074,2.0
319,0.006,0.005,R4,0.0,0.0018,1.002,0.0446766158074,2.0
320,0.006,0.005,R5,0.0,0.0018,1.002,0.0446766158074,2.0
321,0.006,0.005,R6,0.0,0.0018,1.002,0.0446766158074,2.0
322,0.006,0.005,R7,0.0,0.0018,1.002,0.0446766158074,2.0
323,0.006,0.005,R8,0.0,0.0018,1.002,0.0446766158074,2.0
324,0.006,0.005,R9,0.0,0.0018,1.002,0.0446766158074,2.0
325,0.006,0.005,R10,0.0,0.0018,1.002,0.0446766158074,2.0
326,0.006,0.005,R11,0.0,0.0018,1.002,0.0446766158074,2.0
327,0.006,0.005,R12,0.0,0.0018,1.002,0.0446766158074,2.0
